utterance,intent,Sentiment
"tell me if I can create several fucking online accounts with a single email address, please",create_account,Positive
can you tell me if I can create more than one profile with the same email?,create_account,Positive
can you tell me if I can register several online accounts with the same email?,create_account,Neutral
"I don't have a user account, open one",create_account,Neutral
"I need a user account, what should I do to open one?",create_account,Neutral
"I haven't got an account, help me open one",create_account,Positive
"I need an online account, help me createone",create_account,Positive
"I have no account, what can I do to create one?",create_account,Neutral
ask an agent to create a profile,create_account,Positive
"I've got no account, how do I register?",create_account,Negative
"I've got no online account, could you open one, please?",create_account,Neutral
"I have no user account, what cvan I do to register?",create_account,Negative
could you tell me if I can regitser more than one fucking account with the same email address?,create_account,Neutral
"I've got no online account, open one",create_account,Negative
can you tell me if i can register more than one account with the same email address?,create_account,Neutral
can I create several profiles with the same email address?,create_account,Positive
can i register two accounts with a single email?,create_account,Neutral
"I don't have a user account, how do I open one?",create_account,Neutral
"I have no account, open one",create_account,Negative
"I don't have an online account, help me open one",create_account,Positive
tell me if I can register several profiles with the same email,create_account,Neutral
tell me if I can rehister two profiles with the same email,create_account,Neutral
"i havent got a suer account, what do i haveto do?",create_account,Neutral
can I create two accounts with the same email?,create_account,Positive
"i want to create a user account, what can i do?",create_account,Positive
where to open an account,create_account,Neutral
"I want to create a profile, what can I do?",create_account,Positive
"I would like to open a user account, what do I have to do?",create_account,Positive
where can i create an account?,create_account,Positive
how can I register?,create_account,Neutral
"I've got no profile, can I create one?",create_account,Neutral
i want to know if i could register several accounts with a single email address,create_account,Positive
I don't have a user account and I want to open one,create_account,Positive
ask an agent where i can create an account,create_account,Positive
"can you tell me if i could create two online accounts with the same email, please?",create_account,Positive
"I do not have an account, help me register",create_account,Positive
"I've got no user account, create one",create_account,Neutral
"I haev no profile, could I create one?",create_account,Neutral
tell me if I can register more than one user account with a single email,create_account,Neutral
can i create two online accounts with the same email?,create_account,Positive
"please, ask an agent where i could create a fucking profile",create_account,Positive
ask an agent how i can create an account,create_account,Positive
"I don't have a user account, how dp I register?",create_account,Neutral
i want to know if i can create several profiles with the same email,create_account,Positive
"I have no online account, can I open one?",create_account,Negative
"I have no online account, register",create_account,Negative
can I create two online accounts with the same email?,create_account,Positive
i need help creating an online account,create_account,Positive
"please , I want to know if I can create two fucking online accounts eith a single email address",create_account,Positive
"ive got no user account, register",create_account,Negative
"I don't have an online account, can you help me?",create_account,Positive
"I haven't got a user account, what should I do?",create_account,Neutral
"could you tell me if i could register several online accounts with a single email address, please?",create_account,Positive
i wanna knwo if i can create more than one account with the same email address,create_account,Positive
"please, could you tell me if I could create more than one fucking account with the same email address?",create_account,Positive
"I don't have an online account, I need help opening one",create_account,Positive
"I want an account, can I open one?",create_account,Positive
i wanna know if i can register two accounts with the same email,create_account,Neutral
I want to know if I can register several online accounts with the same email address,create_account,Positive
"I haven't got an online account, what do I have to do to register?",create_account,Neutral
"i want to create an account, what should i do?",create_account,Positive
"I want a profile, what can I do?",create_account,Positive
tell me if I can create several accounts with the same email address,create_account,Positive
"I'd like a fucking online account, how could I open one?",create_account,Positive
can you tell me if i can register more than one profile with a single email?,create_account,Neutral
"i dont have a user account, what do i have to do to create one?",create_account,Positive
"I don't have a profile, what can I do to create one?",create_account,Positive
"i need an account, what do i have to do to create one?",create_account,Positive
can you tell me if i could register several accounts with the same email address?,create_account,Neutral
"I want to create an account, what can I do?",create_account,Positive
"ive got no user account, could i open one?",create_account,Negative
tell me if I can register more than one account with the same email,create_account,Neutral
i wanna know if i can register two online accounts with the same email,create_account,Neutral
"I have no account, can you register?",create_account,Negative
can I register several user accounts with a single email address?,create_account,Neutral
"I haven't got a account, what do I have to do to create one?",create_account,Positive
I need a profile and I want tto create  one,create_account,Positive
"I don't have an account, register",create_account,Neutral
"I want a profile, how do I create one?",create_account,Positive
"I haven't got an account, what do I have to do?",create_account,Neutral
"I would like a fucking profile, what should I do?",create_account,Positive
"I want a user account, what should I do to open one?",create_account,Positive
tell me if  can register several accounts with the same email address,create_account,Neutral
can I create more than one profile with a single email address?,create_account,Positive
"I have no user account, can I create one?",create_account,Neutral
"I don't have a profile, what can I do?",create_account,Neutral
i wanna know if i can create two profiles with a single email address,create_account,Positive
tell me if I can register two online accounts with the same email address,create_account,Neutral
"I want an online account, what do I have to do to open one?",create_account,Positive
"i wanna open a user account, what do i have to do?",create_account,Neutral
"I've got no user account, what do I have to do to create one?",create_account,Neutral
can i register more than one account with a single email address ?,create_account,Neutral
"I want a user account, I need help opening one",create_account,Positive
"i have no user account, can u open one, please?",create_account,Neutral
"I have no profile, can you help me?",create_account,Positive
"I haven't got an online account, how do I open one?",create_account,Neutral
i want a account and i wanna create one,create_account,Positive
i want to know if i can create more than one account with the same email,create_account,Positive
"ive got o online account, what can i do?",create_account,Neutral
"I want an account, what should I do to open one?",create_account,Positive
"I don't have an account, can I create one?",create_account,Positive
could you tell me if I could register more than one online account with the same email?,create_account,Neutral
"I've got no fucking account, what can I do to register?",create_account,Negative
I have no online account and I want to open one,create_account,Negative
"please, could you tell me if I can create several fucking user accounts with the same email address?",create_account,Positive
I want to know if I could create two fucking user accounts with a single email address,create_account,Positive
"I haven't got an online account, I need help registering",create_account,Positive
how to register,create_account,Neutral
"please, could you tell me if i could register more than one account with a single email?",create_account,Positive
I don't hace an account and I want to register,create_account,Positive
tell me if I can create more than one online account with the same email address,create_account,Positive
tell me if I can register two user accounts with a single email address,create_account,Neutral
"i wanna know if i could create several online accounts with the same email address, please",create_account,Positive
"I need an account, how can I create one?",create_account,Positive
can I register two online accounts with the same email?,create_account,Neutral
I want to know if I can create several online accounts with a single email address,create_account,Positive
"I've got no user account, how can I open one?",create_account,Negative
"I need a profile, what should I do to create one?",create_account,Positive
"I want an online account, how can I create one?",create_account,Positive
ask an agent to open a user account,create_account,Neutral
I want to know if I can register two user accounts with the same email address,create_account,Positive
I want to know if I can create two user accounts with the same email address,create_account,Positive
can I register more than one user account with the same email?,create_account,Neutral
"i need an online account, what do i have to do to open one?",create_account,Neutral
I have no user account,create_account,Negative
I've got no online account and I want to open one,create_account,Negative
I want a profile,create_account,Positive
"I have no online account, what van I do?",create_account,Negative
"I've got no user account, can you register?",create_account,Negative
can I create two accounts with a single email address?,create_account,Positive
"I have no user account, what do I have to do?",create_account,Negative
"I've got no account, what can I do to open one?",create_account,Negative
"I haven't got an account, what can I do?",create_account,Neutral
"I need a user account, help me open one",create_account,Positive
"I have no fucking account, how do I create one?",create_account,Neutral
I want to know if I can register several accounts with a single email address,create_account,Positive
can i create two user accounts with the same email address?,create_account,Positive
"I have no user account, how do I create one?",create_account,Neutral
can I own several profiles?,create_account,Neutral
"i wannaopen an account, what can i do?",create_account,Neutral
"I want to create a online accountg, can you help me?",create_account,Positive
I want to know  if I can create two user accounts with the same email,create_account,Positive
"I've got no online account, what can I do to create one?",create_account,Neutral
"please, could u ask an agent where i can register?",create_account,Positive
can I create more than one profile with the same email address?,create_account,Positive
I want an online account,create_account,Positive
where can I create a user account?,create_account,Positive
i wanna create an online account,create_account,Positive
"I've got no online account, can you open one?",create_account,Negative
"i dont have an user account,  what should i do to create one?",create_account,Positive
can you tell me if i can create more than one account with a single email?,create_account,Positive
tell me if I  can register more than one profile with a single email address,create_account,Neutral
can you tell me if I can register more than one user account with the same email?,create_account,Neutral
can I create more than one online account with a single email?,create_account,Positive
"I haven't got a profile, what do I have to do to create one?",create_account,Positive
"i wanna know if i could register two fucking online accounts with a single email , please",create_account,Positive
"I want an online zccount, how can I open one?",create_account,Positive
"I have no account, I need help creating one",create_account,Positive
i dont have a profile and i wanna create one,create_account,Positive
can I register two accounts with a single email?,create_account,Neutral
"please, i wanna know if i can register two online accounts with a single email",create_account,Positive
"I have no account, what should I do to  create one?",create_account,Neutral
"can you tell me if i can register several fucking profiles with a single email, please?",create_account,Positive
"i needx an account , what can i do to open one?",create_account,Neutral
"i have no fucking user account, could u help me?",create_account,Positive
"I don't have an account, how do I open one?",create_account,Neutral
"I have no online account, I need help creating one",create_account,Positive
"I haven't got an account and I would like to register, please",create_account,Positive
can I register two accounts with the same email?,create_account,Neutral
can I register several accounts with the same email address?,create_account,Neutral
I want a user account,create_account,Positive
"I have no online account, I need help registering",create_account,Positive
can you ell me if I can register two user accounts with the same email?,create_account,Neutral
"I have no user account, what can I do?",create_account,Negative
can you tell me if I can register more than one profile with the same email?,create_account,Neutral
can I create two accounts with a single email?,create_account,Positive
"I want an account, what should I do?",create_account,Positive
I don't have a user account and I want to register,create_account,Positive
I want to create an online account,create_account,Positive
"I've got no online account, help me open one",create_account,Positive
"I want an account, how do I open one?",create_account,Positive
"I haven't got a profile, what do I have to do?",create_account,Neutral
"I want an account, how do I create one?",create_account,Positive
I want to know if I can create more than one user account with a single email address,create_account,Positive
"I do not have a fucking user account, what do I have to do to create one?",create_account,Positive
I haven't got an account and I want to open one,create_account,Positive
"ive got no fucking online account, open one , please",create_account,Neutral
can i create several user accounts with a single email?,create_account,Positive
"I haven't got an online account, how can I register?",create_account,Neutral
"i want an user account, can u help me?",create_account,Positive
"I want an account, what can I do to create one?",create_account,Positive
can you tell me if i can create two user accounts with a single email ?,create_account,Positive
can i register several profiles with the same email?,create_account,Neutral
can I create several user accounts with the same email?,create_account,Positive
"i dont have a profile, what can i do?",create_account,Neutral
"I want to know if I could register several user accounts with the same email, please",create_account,Positive
"could you tell me if I could register several profiles with a single email address , please?",create_account,Positive
"I haven't got an account, how do I open one?",create_account,Neutral
can you tell me if I can create several profiles with a single email?,create_account,Positive
"I want a user account, what should I do?",create_account,Positive
can I register more than one account with the same email?,create_account,Neutral
"I haven't got an  account, what do I have to do to open one?",create_account,Neutral
can oyuy tell me if i can register more than one online account with the same email address?,create_account,Neutral
I have no online account and I want to register,create_account,Negative
"I have no online account, can you create one?",create_account,Neutral
"i need a profile, what do i have to do to create one?",create_account,Positive
I want o open an online account,create_account,Positive
"i wanna open a user account, what should i do?",create_account,Neutral
"can you ask an agent to open a fucking user account, please?",create_account,Positive
"I need a user account, create one, please",create_account,Positive
"ive got no user account, help me open one",create_account,Positive
"I've got no fucking user account, what do I have to do to register?",create_account,Negative
can u ask an agent where i can create a profile?,create_account,Positive
can you tell me if I can rceate more than one account with a single email address?,create_account,Neutral
"i want to know if i could register several online accounts with a single email, please",create_account,Positive
I want to know if I can create more than one user account with a single email,create_account,Positive
I want to know if I can have several user accounts,create_account,Positive
can I create several accounts with the same email?,create_account,Positive
"I have no account, what can I do to open one?",create_account,Negative
can I create more than one account with the same email address?,create_account,Positive
"i want to create an online account, can u help me?",create_account,Positive
"I haven't got an account, how do I create one?",create_account,Positive
"I have no user account, what can I do to open one?",create_account,Negative
I want to know if I can own more than one profile,create_account,Positive
tell me if I can create more than one fucking user account with a single email address,create_account,Positive
"I need an account, how do I create one?",create_account,Positive
"I would like an online account, can you create one, please?",create_account,Positive
"I don't have an account, what should I do to open one?",create_account,Neutral
i wanna know if i can register more than one user account with a siingle email,create_account,Neutral
how can I open an account?,create_account,Neutral
"i want to register, can u help me?",create_account,Positive
"I have no online account, can I create one?",create_account,Neutral
I do not have a fucking profile,create_account,Neutral
can u ask an agent if i can open as user account?,create_account,Neutral
"I want an online account, help me open one",create_account,Positive
"I hjave  no online account, what should I do to open one?",create_account,Negative
I need help creating a user account,create_account,Positive
"ive got no account, what should i do to register?",create_account,Negative
"I don't have an account, can you open one?",create_account,Neutral
can i register more than one user account with a single email address?,create_account,Neutral
"I haven't got a user account, can I create one?",create_account,Positive
"please, can you tell me if i could create two online accounts with the same email address?",create_account,Positive
"I've got no profile, help me create one",create_account,Negative
can I register more than one profile with the same email?,create_account,Neutral
"i havent got an online account, what do i have tto do to register?",create_account,Neutral
"I've got no user account, what can I do to register?",create_account,Negative
i want to know if i could register two profiles with a single email address,create_account,Positive
can i have several accounts?,create_account,Neutral
i havent got a user acocunt and i wanna create one,create_account,Positive
"I have no user account, what do I have to do to register?",create_account,Negative
"I don't have a profile, what do I have to do to create one?",create_account,Positive
"tell me if I could register several fucking profiles with the same email address, please",create_account,Positive
I need help creating an account,create_account,Positive
ive got no online accountand i want to create one,create_account,Positive
can I register several user accounts with a single email?,create_account,Neutral
I want to know if I can create two accounts with a single email address,create_account,Positive
"I've got no account, how can I register?",create_account,Negative
can you tell me if I can register several accounts with the same email?,create_account,Neutral
"i have no fucking user account, what should i do to create one ?",create_account,Neutral
"I haven't got a user account, can I register?",create_account,Neutral
I want to know if I can register more than one profile with a single email,create_account,Positive
"i want an account, help me open ine",create_account,Positive
"I haven't got an account, create one",create_account,Positive
i havent got an account and i want to create one,create_account,Positive
"I've got no online account, I need help creating one",create_account,Positive
i wanna know if i can register more than one profile with the same email address,create_account,Neutral
I need help opening  an account,create_account,Positive
"i have no user account and i wanna open one, please",create_account,Neutral
i want to know if i can create more than one online account with a single email address,create_account,Positive
"I want an account, what should I do to create one?",create_account,Positive
"I need an online account, I need help creating one",create_account,Positive
"I don't have an account, what can I do?",create_account,Neutral
"i dont have a profile, i need help creating one",create_account,Positive
"I haven't got an online account, what should I do to create one?",create_account,Positive
can you tell me if I can cteate two profiles with a single email?,create_account,Neutral
"I don't have a user account, I need help creating one",create_account,Positive
"I haven't got an acount, what do I have to do to register?",create_account,Neutral
I haven't got a profile and I want to create one,create_account,Positive
"i havent got a profile, what should i do to create one?",create_account,Positive
can you tell me if i can register several user accounts with the same eail?,create_account,Neutral
"i dont  have a user account, what do i have to do to register?",create_account,Neutral
"I've got no user account, help me create one",create_account,Positive
"i want a profile, help me create one",create_account,Positive
"i dont have an account, how do i register?",create_account,Neutral
tell me if I can have several online accounts,create_account,Neutral
"I need an account, how do I open one?",create_account,Neutral
"could you tell me if I could register two online accounts with a single email address, please?",create_account,Positive
I want to know if I can create two accounts with a single email,create_account,Positive
ask an agent how to create an account,create_account,Positive
i want to know if i can register several profiles with the same email,create_account,Positive
"I need an online account, can you help me?",create_account,Positive
I need an online account and I wanmt to open one,create_account,Neutral
can you tell me if i can register several accounts with a single email address?,create_account,Neutral
can I register two online accounts with the same email address?,create_account,Neutral
"I've got no user account, what can I do?",create_account,Negative
i havent got a user account and id like to create one,create_account,Positive
tell me if I can create several profiles with the same eemail,create_account,Positive
I want to know if I can create more than one user account with the same email,create_account,Positive
"i donty have an account, can u help me?",create_account,Positive
"I've got no online account, help me register",create_account,Positive
can I create more than one online account with a single email address?,create_account,Positive
where toopen an online account,create_account,Neutral
i want to know if i can register more than one profile with a single email address,create_account,Positive
can you tell me if I can create several online accounts with the same email?,create_account,Positive
"I want a user account, what do I have to do to open one?",create_account,Positive
I haven't got a  user account,create_account,Neutral
can you tell me if I can register more than one profile with the same email address?,create_account,Neutral
can you tell me if I can create two online accounts with the same email?,create_account,Positive
tell me if I can register two accounts with the same email address,create_account,Neutral
"I've got no online account, what do I have to do to open one?",create_account,Negative
"i havent got an account, what do i have to do to open one?",create_account,Neutral
"ive got no account, can u open one?",create_account,Negative
can you tell me if i can register two accounts with the same email?,create_account,Neutral
"i have no online acconut, can i create one?",create_account,Neutral
how to create an online account,create_account,Positive
how do I create a profile?,create_account,Positive
ive got no account and i wanna register,create_account,Negative
I want to know if I can have more than one user account,create_account,Positive
"I haven't got a user account, what should I do to register?",create_account,Neutral
"I've got no online account, can you register?",create_account,Negative
ive got no online account and id like to register,create_account,Positive
"i dont have a profile, can i create one?",create_account,Positive
"I have no profile, what can I do to create one?",create_account,Neutral
can you tell me if  I can register two user accounts with a single email?,create_account,Neutral
i want to create an online account,create_account,Positive
I haven't got an online account and I want to register,create_account,Positive
"I want an online account, create one",create_account,Positive
"I don't have a user account, can you open one?",create_account,Neutral
"I have no user account, create one",create_account,Neutral
"i want to open a user account, what should i do?",create_account,Positive
"I've got no account, can you create one?",create_account,Neutral
"I want an online account, I need help opening one",create_account,Positive
"I want na account, how can I create one?",create_account,Positive
I want to know if I can create two profiles with a single email,create_account,Positive
"please, ask an agent where i could register",create_account,Positive
"please, tell me if I can register two online accounts with a single email",create_account,Positive
"I don't have an account, can you create one?",create_account,Positive
"I've got no account, can you help me?",create_account,Positive
tell me if I can register more than one profile with the same email address,create_account,Neutral
I would like a user account and I'd like to create one,create_account,Positive
"ive got no user account, how do i create one?",create_account,Neutral
can i register two user accounts with a single email?,create_account,Neutral
I want to know if I can register two user accounts with the same email,create_account,Positive
"i havent got an account, what can i do to create one?",create_account,Positive
can i create two profiles with a single email?,create_account,Positive
can I register several user accounts with the same email?,create_account,Neutral
"I don't have a user account, what should I do?",create_account,Neutral
where to oopen a user account,create_account,Neutral
"I have no user account, how can I open one?",create_account,Negative
"I've got no user account, can you create one?",create_account,Neutral
"I need an online account, what can I do to open one?",create_account,Neutral
I want to know if I can create several profiles with a single email,create_account,Positive
tell me if I can register several accounts with a single email address,create_account,Neutral
"I want an online account, what should I do to open one?",create_account,Positive
i dont have an account and i want to create one,create_account,Positive
can u ask an agent if i can create a profile?,create_account,Positive
can you tell me if I can own more than one user account?,create_account,Neutral
"I need an online account, I need help opening one",create_account,Positive
where do I create a user account?,create_account,Positive
can I register seveal profiles with the same email?,create_account,Neutral
"I haven't got anonline account, register",create_account,Neutral
"i have no account, how can i create one ?",create_account,Neutral
i want to know if i can create more than one user account with the same email,create_account,Positive
"i dont have a user account, i need help registering, please",create_account,Positive
"I don't have a profile, how can I create one?",create_account,Positive
can you tell me if I can create two accounts with a single email address?,create_account,Positive
tell me if I can create several user accounts with a single email,create_account,Positive
"I have no user account, register",create_account,Negative
tell me if I can register two accounts with the same email,create_account,Neutral
I've got no account and I want to open one,create_account,Negative
"I have no profile, can I create one?",create_account,Neutral
can you tell me if i can create two profiles with the same email?,create_account,Positive
"i want a fucking user account, how can i create one?",create_account,Positive
can I register two online accounts with a single email address?,create_account,Neutral
"I'd like to create a fucking profile, what should I do?",create_account,Positive
can I register several fucking user accounts with the same email?,create_account,Neutral
"I need a user account, what do I have to do?",create_account,Neutral
"I want to open a user account, what should I do?",create_account,Positive
can you tell me if I can create two online accounts with the same email address?,create_account,Positive
"please, can you ask an agent where I can create a account?",create_account,Positive
can i create several accounts with the same email address?,create_account,Positive
"i need an online account , what do i have to do to create one?",create_account,Positive
I want an account and I want to open one,create_account,Positive
"please, i want to know if i could create two fucking online accounts with the same email address",create_account,Positive
i wanna know if i can create several fucking user accounts with a single email address,create_account,Positive
"i haevnt got an account, what should i do to open one?",create_account,Neutral
"could you tell me if i can register more than one account with the same email address, please?",create_account,Positive
can i create an online account?,create_account,Positive
i want to know if i can create several profiles with a single email,create_account,Positive
can you tell me if I can have more than one user account?,create_account,Neutral
"I have no online account, I need help opening one",create_account,Positive
I have no account and I want to open one,create_account,Negative
"I've got no account, open one",create_account,Negative
"I have no user account, what should I do to open one?",create_account,Negative
"i have no online account, what should i do?",create_account,Negative
I want to know if I can register several accounts with the same email address,create_account,Positive
can you tell me if I can register several user accounts with the same email address?,create_account,Neutral
"i dont have a user account, help me register",create_account,Positive
I want to know if I can register more than one account with the same email address,create_account,Positive
"please, could you tell me if i could register several fucking online accounts with the same email address?",create_account,Positive
can you  tell me if I can register more than one online accoun with the same email?,create_account,Neutral
